sample_id,prediction_score,true_label,temperature,top_p,model_version
task-001,0.574,1,0.9,0.85,llm-v1.0
task-002,0.871,1,0.7,0.85,llm-v1.0
task-003,0.02,0,0.5,0.94,llm-v1.0
task-004,0.545,0,1.2,0.9,llm-v1.0
task-005,0.707,1,0.8,1.0,llm-v1.0
task-006,0.82,1,0.9,0.86,llm-v1.0
task-007,0.609,0,0.9,0.9,llm-v1.0
task-008,0.342,0,0.4,0.91,llm-v1.0
task-009,0.776,1,0.5,0.85,llm-v1.0
task-010,0.795,0,1.1,0.92,llm-v1.0
task-011,0.614,0,0.7,0.88,llm-v1.0
task-012,0.708,0,1.0,0.91,llm-v1.0
task-013,0.692,1,0.3,0.96,llm-v1.0
task-014,0.33,0,0.7,0.99,llm-v1.0
task-015,0.62,1,0.6,0.95,llm-v1.0
task-016,0.97,1,0.3,0.9,llm-v1.0
task-017,0.928,1,0.4,0.92,llm-v1.0
task-018,0.532,1,0.5,0.98,llm-v1.0
task-019,0.862,1,1.2,0.95,llm-v1.0
task-020,0.489,1,0.5,0.88,llm-v1.0
task-021,0.591,0,0.5,0.95,llm-v1.0
task-022,0.749,1,1.0,0.88,llm-v1.0
task-023,0.823,1,1.2,0.86,llm-v1.0
task-024,0.966,1,0.7,0.89,llm-v1.0
task-025,0.244,1,1.2,0.99,llm-v1.0
task-026,0.841,0,0.6,1.0,llm-v1.0
task-027,0.658,0,0.8,0.96,llm-v1.0
task-028,0.557,1,0.4,0.94,llm-v1.0
task-029,0.741,0,1.1,0.89,llm-v1.0
task-030,0.812,1,0.5,0.96,llm-v1.0
task-031,0.08,0,0.4,0.92,llm-v1.0
task-032,0.837,1,0.6,0.87,llm-v1.0
task-033,0.589,0,0.9,0.99,llm-v1.0
task-034,0.374,1,0.9,0.88,llm-v1.0
task-035,0.887,1,0.7,0.89,llm-v1.0
task-036,0.832,1,0.7,0.85,llm-v1.0
task-037,0.67,1,0.4,0.87,llm-v1.0
task-038,0.2,0,0.5,0.87,llm-v1.0
task-039,0.584,1,1.0,0.98,llm-v1.0
task-040,0.618,1,1.0,0.87,llm-v1.0
task-041,0.901,1,0.3,0.88,llm-v1.0
task-042,0.215,0,1.2,0.93,llm-v1.0
task-043,0.698,1,0.4,0.92,llm-v1.0
task-044,0.726,1,0.5,0.96,llm-v1.0
task-045,0.891,1,0.9,0.9,llm-v1.0
task-046,0.64,1,0.7,0.89,llm-v1.0
task-047,0.654,1,0.6,0.93,llm-v1.0
task-048,0.936,1,0.7,0.88,llm-v1.0
task-049,0.602,1,0.9,0.9,llm-v1.0
task-050,0.086,0,0.5,0.92,llm-v1.0
task-051,0.428,0,0.7,0.89,llm-v1.0
task-052,0.693,0,0.8,0.86,llm-v1.0
task-053,0.393,0,0.8,0.99,llm-v1.0
task-054,0.612,1,1.1,0.96,llm-v1.0
task-055,0.779,1,0.9,0.89,llm-v1.0
task-056,0.548,1,0.5,0.95,llm-v1.0
task-057,0.66,1,0.7,0.99,llm-v1.0
task-058,0.444,1,0.6,0.96,llm-v1.0
task-059,0.906,1,0.7,0.85,llm-v1.0
task-060,0.698,1,0.9,0.85,llm-v1.0
task-061,0.762,0,0.3,0.91,llm-v1.0
task-062,0.818,1,0.5,0.86,llm-v1.0
task-063,0.124,0,0.9,0.96,llm-v1.0
task-064,0.918,0,0.9,0.97,llm-v1.0
task-065,0.827,1,0.4,0.85,llm-v1.0
task-066,0.774,0,0.9,0.94,llm-v1.0
task-067,0.789,0,1.0,0.9,llm-v1.0
task-068,0.849,0,0.4,0.99,llm-v1.0
task-069,0.623,0,0.5,0.97,llm-v1.0
task-070,0.18,1,1.0,0.86,llm-v1.0
task-071,0.589,1,1.1,0.88,llm-v1.0
task-072,0.673,1,0.3,0.99,llm-v1.0
task-073,0.767,1,0.7,0.97,llm-v1.0
task-074,0.811,1,0.8,0.91,llm-v1.0
task-075,0.9,1,0.5,0.87,llm-v1.0
task-076,0.758,1,1.2,0.93,llm-v1.0
task-077,0.54,1,0.8,0.89,llm-v1.0
task-078,0.938,1,1.1,0.94,llm-v1.0
task-079,0.906,1,1.0,0.91,llm-v1.0
task-080,0.506,1,1.2,0.87,llm-v1.0
task-081,0.208,0,0.7,0.98,llm-v1.0
task-082,0.67,1,0.5,0.88,llm-v1.0
task-083,0.679,0,0.5,0.96,llm-v1.0
task-084,0.963,1,0.7,0.93,llm-v1.0
task-085,0.505,1,1.0,0.94,llm-v1.0
task-086,0.839,0,0.7,0.86,llm-v1.0
task-087,0.155,0,1.1,0.94,llm-v1.0
task-088,0.93,1,1.1,0.88,llm-v1.0
task-089,0.774,1,0.9,0.98,llm-v1.0
task-090,0.677,1,0.6,1.0,llm-v1.0
task-091,0.53,0,0.5,0.9,llm-v1.0
task-092,0.653,1,0.7,0.95,llm-v1.0
task-093,0.621,1,1.2,0.99,llm-v1.0
task-094,0.237,0,0.5,0.98,llm-v1.0
task-095,0.88,0,1.1,0.98,llm-v1.0
task-096,0.691,1,0.7,0.87,llm-v1.0
task-097,0.926,1,0.5,0.95,llm-v1.0
task-098,0.828,1,1.0,0.91,llm-v1.0
task-099,0.317,0,0.8,0.98,llm-v1.0
task-100,0.583,0,0.9,0.87,llm-v1.0
task-101,0.757,0,0.6,0.9,llm-v1.0
task-102,0.801,0,1.0,0.92,llm-v1.0
task-103,0.705,0,0.3,0.97,llm-v1.0
task-104,0.413,1,0.5,0.86,llm-v1.0
task-105,0.456,0,0.3,0.97,llm-v1.0
task-106,0.836,1,0.9,0.91,llm-v1.0
task-107,0.398,0,1.2,0.89,llm-v1.0
task-108,0.866,1,0.3,0.94,llm-v1.0
task-109,0.887,1,0.9,0.96,llm-v1.0
task-110,0.925,0,1.0,0.86,llm-v1.0
task-111,0.218,0,0.8,0.99,llm-v1.0
task-112,0.081,0,0.6,0.87,llm-v1.0
task-113,0.674,1,1.2,0.97,llm-v1.0
task-114,0.909,0,1.0,0.99,llm-v1.0
task-115,0.768,1,0.6,0.91,llm-v1.0
task-116,0.865,1,1.2,0.91,llm-v1.0
task-117,0.641,0,1.2,0.85,llm-v1.0
task-118,0.648,1,0.6,0.91,llm-v1.0
task-119,0.191,0,0.8,0.85,llm-v1.0
task-120,0.404,1,0.5,0.88,llm-v1.0
