sample_id,prediction_score,true_label,temperature,top_p,model_version
task-001,0.407,0,0.9,0.85,llm-v1.1
task-002,0.604,1,1.0,0.92,llm-v1.1
task-003,0.475,1,1.0,0.98,llm-v1.1
task-004,0.272,0,0.9,0.92,llm-v1.1
task-005,0.428,0,0.9,0.93,llm-v1.1
task-006,0.629,1,0.9,0.97,llm-v1.1
task-007,0.513,1,0.7,0.86,llm-v1.1
task-008,0.403,0,1.0,0.86,llm-v1.1
task-009,0.241,0,0.6,0.87,llm-v1.1
task-010,0.221,0,0.8,0.9,llm-v1.1
task-011,0.439,1,0.6,0.96,llm-v1.1
task-012,0.179,1,1.1,0.97,llm-v1.1
task-013,0.309,1,1.1,0.93,llm-v1.1
task-014,0.388,1,0.7,0.9,llm-v1.1
task-015,0.5,1,0.4,0.94,llm-v1.1
task-016,0.192,1,1.0,0.87,llm-v1.1
task-017,0.312,0,0.7,0.94,llm-v1.1
task-018,0.232,0,0.3,0.96,llm-v1.1
task-019,0.022,0,0.4,0.98,llm-v1.1
task-020,0.027,0,0.9,0.91,llm-v1.1
task-021,0.461,1,1.1,0.86,llm-v1.1
task-022,0.288,0,0.6,0.9,llm-v1.1
task-023,0.666,0,1.0,0.97,llm-v1.1
task-024,0.433,0,0.9,0.88,llm-v1.1
task-025,0.903,1,0.8,0.95,llm-v1.1
task-026,0.303,0,0.6,0.89,llm-v1.1
task-027,0.668,0,0.4,0.98,llm-v1.1
task-028,0.677,1,1.1,0.92,llm-v1.1
task-029,0.534,1,0.4,0.98,llm-v1.1
task-030,0.251,0,0.7,0.93,llm-v1.1
task-031,0.129,0,1.0,0.95,llm-v1.1
task-032,0.374,0,1.1,0.98,llm-v1.1
task-033,0.327,0,0.7,0.94,llm-v1.1
task-034,0.653,1,1.0,0.96,llm-v1.1
task-035,0.809,0,0.5,0.88,llm-v1.1
task-036,0.768,1,0.4,0.97,llm-v1.1
task-037,0.473,1,1.0,0.97,llm-v1.1
task-038,0.685,1,0.7,0.89,llm-v1.1
task-039,0.481,0,1.1,0.91,llm-v1.1
task-040,0.342,0,1.0,0.87,llm-v1.1
task-041,0.727,0,1.1,0.89,llm-v1.1
task-042,0.567,0,0.5,0.92,llm-v1.1
task-043,0.152,0,0.9,0.97,llm-v1.1
task-044,0.168,0,0.7,0.85,llm-v1.1
task-045,0.043,0,0.4,0.89,llm-v1.1
task-046,0.429,0,1.1,0.94,llm-v1.1
task-047,0.703,1,0.5,0.91,llm-v1.1
task-048,0.594,1,1.2,0.93,llm-v1.1
task-049,0.933,1,1.0,0.94,llm-v1.1
task-050,0.299,1,0.5,0.97,llm-v1.1
task-051,0.257,0,0.3,0.88,llm-v1.1
task-052,0.17,0,1.1,0.9,llm-v1.1
task-053,0.67,0,1.2,0.92,llm-v1.1
task-054,0.339,0,0.8,0.9,llm-v1.1
task-055,0.667,0,0.6,0.86,llm-v1.1
task-056,0.436,1,0.4,0.95,llm-v1.1
task-057,0.208,0,0.4,0.97,llm-v1.1
task-058,0.258,1,0.6,0.96,llm-v1.1
task-059,0.395,0,1.0,0.92,llm-v1.1
task-060,0.12,0,0.6,0.99,llm-v1.1
task-061,0.833,0,0.4,0.95,llm-v1.1
task-062,0.654,1,1.1,0.96,llm-v1.1
task-063,0.221,0,0.4,0.97,llm-v1.1
task-064,0.533,1,0.4,0.9,llm-v1.1
task-065,0.243,0,1.2,0.95,llm-v1.1
task-066,0.182,0,0.5,0.99,llm-v1.1
task-067,0.855,1,0.6,0.99,llm-v1.1
task-068,0.288,0,0.8,0.88,llm-v1.1
task-069,0.059,0,0.8,0.97,llm-v1.1
task-070,0.252,0,0.7,0.95,llm-v1.1
task-071,0.25,0,0.4,0.86,llm-v1.1
task-072,0.358,0,1.0,0.98,llm-v1.1
task-073,0.169,0,0.5,0.89,llm-v1.1
task-074,0.203,0,0.4,0.9,llm-v1.1
task-075,0.762,1,0.6,0.85,llm-v1.1
task-076,0.308,0,0.7,0.98,llm-v1.1
task-077,0.291,0,0.6,0.91,llm-v1.1
task-078,0.44,1,0.6,1.0,llm-v1.1
task-079,0.53,1,1.1,0.96,llm-v1.1
task-080,0.542,0,0.7,0.92,llm-v1.1
task-081,0.425,0,1.0,0.89,llm-v1.1
task-082,0.499,1,0.6,0.95,llm-v1.1
task-083,0.602,1,0.7,1.0,llm-v1.1
task-084,0.832,1,0.9,0.94,llm-v1.1
task-085,0.296,0,0.3,0.9,llm-v1.1
task-086,0.128,0,1.0,0.86,llm-v1.1
task-087,0.171,0,0.5,0.99,llm-v1.1
task-088,0.382,0,0.8,0.88,llm-v1.1
task-089,0.896,1,0.6,0.9,llm-v1.1
task-090,0.827,1,1.2,0.97,llm-v1.1
task-091,0.25,0,0.7,0.89,llm-v1.1
task-092,0.384,1,0.5,0.95,llm-v1.1
task-093,0.237,1,1.0,0.85,llm-v1.1
task-094,0.925,1,0.8,0.93,llm-v1.1
task-095,0.119,0,1.1,1.0,llm-v1.1
task-096,0.181,0,0.3,0.94,llm-v1.1
task-097,0.133,0,0.4,0.87,llm-v1.1
task-098,0.792,1,1.0,0.88,llm-v1.1
task-099,0.238,0,0.5,0.87,llm-v1.1
task-100,0.588,1,0.6,0.96,llm-v1.1
task-101,0.876,1,0.7,0.93,llm-v1.1
task-102,0.114,0,0.9,0.88,llm-v1.1
task-103,0.307,1,0.7,0.93,llm-v1.1
task-104,0.303,0,0.7,0.96,llm-v1.1
task-105,0.1,0,0.4,0.9,llm-v1.1
task-106,0.276,0,1.0,0.92,llm-v1.1
task-107,0.715,0,0.7,0.97,llm-v1.1
task-108,0.14,0,1.1,0.86,llm-v1.1
task-109,0.438,0,0.9,0.91,llm-v1.1
task-110,0.239,1,0.9,0.9,llm-v1.1
task-111,0.701,0,0.3,0.89,llm-v1.1
task-112,0.739,1,1.0,0.87,llm-v1.1
task-113,0.521,0,0.8,0.96,llm-v1.1
task-114,0.549,0,0.4,0.93,llm-v1.1
task-115,0.438,0,0.6,0.9,llm-v1.1
task-116,0.466,1,1.1,0.99,llm-v1.1
task-117,0.301,0,0.7,0.87,llm-v1.1
task-118,0.177,0,1.0,0.99,llm-v1.1
task-119,0.341,0,1.1,0.86,llm-v1.1
task-120,0.259,1,0.5,0.96,llm-v1.1
